"","State","Countynames","Code","FIPS","Population"
"456","Georgia","Heard ","GA",13149,23758
"457","Georgia","Henry ","GA",13151,460440
"458","Georgia","Houston ","GA",13153,310938
"459","Georgia","Irwin ","GA",13155,18796
"460","Georgia","Jackson ","GA",13157,140844
"461","Georgia","Jasper ","GA",13159,28080
"462","Georgia","Jeff Davis ","GA",13161,30058
"463","Georgia","Jefferson ","GA",13163,30860
"464","Georgia","Jenkins ","GA",13165,17366
"465","Georgia","Johnson ","GA",13167,19416
"466","Georgia","Jones ","GA",13169,57232
"467","Georgia","Lamar ","GA",13171,38000
"468","Georgia","Lanier ","GA",13173,20680
"469","Georgia","Laurens ","GA",13175,94650
"470","Georgia","Lee ","GA",13177,59528
"471","Georgia","Liberty ","GA",13179,122994
"472","Georgia","Lincoln ","GA",13181,15830
"473","Georgia","Long ","GA",13183,37996
"474","Georgia","Lowndes ","GA",13185,232642
"475","Georgia","Lumpkin ","GA",13187,65910
"476","Georgia","Macon ","GA",13193,26286
"477","Georgia","Madison ","GA",13195,59300
"478","Georgia","Marion ","GA",13197,16702
"479","Georgia","McDuffie ","GA",13189,43062
"480","Georgia","McIntosh ","GA",13191,28680
"481","Georgia","Meriwether ","GA",13199,42136
"482","Georgia","Miller ","GA",13201,11372
"483","Georgia","Mitchell ","GA",13205,44384
"484","Georgia","Monroe ","GA",13207,55040
"485","Georgia","Montgomery ","GA",13209,18386
"486","Georgia","Morgan ","GA",13211,37706
"487","Georgia","Murray ","GA",13213,79842
"488","Georgia","Muscogee ","GA",13215,388320
"489","Georgia","Newton ","GA",13217,219082
"490","Georgia","Oconee ","GA",13219,78544
"491","Georgia","Oglethorpe ","GA",13221,30108
"492","Georgia","Paulding ","GA",13223,328088
"493","Georgia","Peach ","GA",13225,54594
"494","Georgia","Pickens ","GA",13227,63960
"495","Georgia","Pierce ","GA",13229,38778
"496","Georgia","Pike ","GA",13231,37268
"497","Georgia","Polk ","GA",13233,84940
"498","Georgia","Pulaski ","GA",13235,22138
"499","Georgia","Putnam ","GA",13237,43618
