"","Code","State","FIPS","Countynames"
"458","GA","Georgia",13139,"Hall "
"459","GA","Georgia",13141,"Hancock "
"460","GA","Georgia",13143,"Haralson "
"461","GA","Georgia",13145,"Harris "
"462","GA","Georgia",13147,"Hart "
"463","GA","Georgia",13149,"Heard "
"464","GA","Georgia",13151,"Henry "
"465","GA","Georgia",13153,"Houston "
"466","GA","Georgia",13155,"Irwin "
"467","GA","Georgia",13157,"Jackson "
"468","GA","Georgia",13159,"Jasper "
"469","GA","Georgia",13161,"Jeff Davis "
"470","GA","Georgia",13163,"Jefferson "
"471","GA","Georgia",13165,"Jenkins "
"472","GA","Georgia",13167,"Johnson "
"473","GA","Georgia",13169,"Jones "
"474","GA","Georgia",13171,"Lamar "
"475","GA","Georgia",13173,"Lanier "
"476","GA","Georgia",13175,"Laurens "
"477","GA","Georgia",13177,"Lee "
"478","GA","Georgia",13179,"Liberty "
"479","GA","Georgia",13181,"Lincoln "
"480","GA","Georgia",13183,"Long "
"481","GA","Georgia",13185,"Lowndes "
"482","GA","Georgia",13187,"Lumpkin "
"483","GA","Georgia",13189,"McDuffie "
"484","GA","Georgia",13191,"McIntosh "
"485","GA","Georgia",13193,"Macon "
"486","GA","Georgia",13195,"Madison "
"487","GA","Georgia",13197,"Marion "
"488","GA","Georgia",13199,"Meriwether "
"489","GA","Georgia",13201,"Miller "
"490","GA","Georgia",13205,"Mitchell "
"491","GA","Georgia",13207,"Monroe "
"492","GA","Georgia",13209,"Montgomery "
"493","GA","Georgia",13211,"Morgan "
"494","GA","Georgia",13213,"Murray "
"495","GA","Georgia",13215,"Muscogee "
"496","GA","Georgia",13217,"Newton "
"497","GA","Georgia",13219,"Oconee "
"498","GA","Georgia",13221,"Oglethorpe "
"499","GA","Georgia",13223,"Paulding "
"500","GA","Georgia",13225,"Peach "
"501","GA","Georgia",13227,"Pickens "
"502","GA","Georgia",13229,"Pierce "
"503","GA","Georgia",13231,"Pike "
"504","GA","Georgia",13233,"Polk "
"505","GA","Georgia",13235,"Pulaski "
"506","GA","Georgia",13237,"Putnam "
"507","GA","Georgia",13239,"Quitman "
"508","GA","Georgia",13241,"Rabun "
"509","GA","Georgia",13243,"Randolph "
"510","GA","Georgia",13245,"Richmond "
"511","GA","Georgia",13247,"Rockdale "
"512","GA","Georgia",13249,"Schley "
"513","GA","Georgia",13251,"Screven "
"514","GA","Georgia",13253,"Seminole "
"515","GA","Georgia",13255,"Spalding "
"516","GA","Georgia",13257,"Stephens "
"517","GA","Georgia",13259,"Stewart "
"518","GA","Georgia",13261,"Sumter "
"519","GA","Georgia",13263,"Talbot "
"520","GA","Georgia",13265,"Taliaferro "
"521","GA","Georgia",13267,"Tattnall "
"522","GA","Georgia",13269,"Taylor "
"523","GA","Georgia",13271,"Telfair "
"524","GA","Georgia",13273,"Terrell "
"525","GA","Georgia",13275,"Thomas "
"526","GA","Georgia",13277,"Tift "
"527","GA","Georgia",13279,"Toombs "
"528","GA","Georgia",13281,"Towns "
"529","GA","Georgia",13283,"Treutlen "
"530","GA","Georgia",13285,"Troup "
"531","GA","Georgia",13287,"Turner "
"532","GA","Georgia",13289,"Twiggs "
"533","GA","Georgia",13291,"Union "
"534","GA","Georgia",13293,"Upson "
"535","GA","Georgia",13295,"Walker "
"536","GA","Georgia",13297,"Walton "
"537","GA","Georgia",13299,"Ware "
"538","GA","Georgia",13301,"Warren "
"539","GA","Georgia",13303,"Washington "
"540","GA","Georgia",13305,"Wayne "
"541","GA","Georgia",13307,"Webster "
"542","GA","Georgia",13309,"Wheeler "
"543","GA","Georgia",13311,"White "
"544","GA","Georgia",13313,"Whitfield "
"545","GA","Georgia",13315,"Wilcox "
"546","GA","Georgia",13317,"Wilkes "
"547","GA","Georgia",13319,"Wilkinson "
"548","GA","Georgia",13321,"Worth "
"549","HI","Hawaii",15001,"Hawaii "
"550","HI","Hawaii",15003,"Honolulu "
"551","HI","Hawaii",15005,"Kalawao "
"552","HI","Hawaii",15007,"Kauai "
"553","HI","Hawaii",15009,"Maui "
"554","IA","Iowa",19001,"Adair "
"555","IA","Iowa",19003,"Adams "
"556","IA","Iowa",19005,"Allamakee "
"557","IA","Iowa",19007,"Appanoose "
"558","IA","Iowa",19009,"Audubon "
"559","IA","Iowa",19011,"Benton "
"560","IA","Iowa",19013,"Black Hawk "
"561","IA","Iowa",19015,"Boone "
"562","IA","Iowa",19017,"Bremer "
"563","IA","Iowa",19019,"Buchanan "
"564","IA","Iowa",19021,"Buena Vista "
"565","IA","Iowa",19023,"Butler "
"566","IA","Iowa",19025,"Calhoun "
"567","IA","Iowa",19027,"Carroll "
"568","IA","Iowa",19029,"Cass "
"569","IA","Iowa",19031,"Cedar "
"570","IA","Iowa",19033,"Cerro Gordo "
"571","IA","Iowa",19035,"Cherokee "
"572","IA","Iowa",19037,"Chickasaw "
"573","IA","Iowa",19039,"Clarke "
"574","IA","Iowa",19041,"Clay "
"575","IA","Iowa",19043,"Clayton "
"576","IA","Iowa",19045,"Clinton "
"577","IA","Iowa",19047,"Crawford "
"578","IA","Iowa",19049,"Dallas "
"579","IA","Iowa",19051,"Davis "
"580","IA","Iowa",19053,"Decatur "
"581","IA","Iowa",19055,"Delaware "
"582","IA","Iowa",19057,"Des Moines "
"583","IA","Iowa",19059,"Dickinson "
"584","IA","Iowa",19061,"Dubuque "
"585","IA","Iowa",19063,"Emmet "
"586","IA","Iowa",19065,"Fayette "
"587","IA","Iowa",19067,"Floyd "
"588","IA","Iowa",19069,"Franklin "
"589","IA","Iowa",19071,"Fremont "
"590","IA","Iowa",19073,"Greene "
"591","IA","Iowa",19075,"Grundy "
"592","IA","Iowa",19077,"Guthrie "
"593","IA","Iowa",19079,"Hamilton "
"594","IA","Iowa",19081,"Hancock "
"595","IA","Iowa",19083,"Hardin "
"596","IA","Iowa",19085,"Harrison "
"597","IA","Iowa",19087,"Henry "
"598","IA","Iowa",19089,"Howard "
"599","IA","Iowa",19091,"Humboldt "
"600","IA","Iowa",19093,"Ida "
"601","IA","Iowa",19095,"Iowa "
"602","IA","Iowa",19097,"Jackson "
"603","IA","Iowa",19099,"Jasper "
"604","IA","Iowa",19101,"Jefferson "
"605","IA","Iowa",19103,"Johnson "
"606","IA","Iowa",19105,"Jones "
"607","IA","Iowa",19107,"Keokuk "
"608","IA","Iowa",19109,"Kossuth "
"609","IA","Iowa",19111,"Lee "
"610","IA","Iowa",19113,"Linn "
"611","IA","Iowa",19115,"Louisa "
"612","IA","Iowa",19117,"Lucas "
"613","IA","Iowa",19119,"Lyon "
"614","IA","Iowa",19121,"Madison "
"615","IA","Iowa",19123,"Mahaska "
"616","IA","Iowa",19125,"Marion "
"617","IA","Iowa",19127,"Marshall "
"618","IA","Iowa",19129,"Mills "
"619","IA","Iowa",19131,"Mitchell "
"620","IA","Iowa",19133,"Monona "
"621","IA","Iowa",19135,"Monroe "
"622","IA","Iowa",19137,"Montgomery "
"623","IA","Iowa",19139,"Muscatine "
"624","IA","Iowa",19141,"O'Brien "
"625","IA","Iowa",19143,"Osceola "
"626","IA","Iowa",19145,"Page "
"627","IA","Iowa",19147,"Palo Alto "
"628","IA","Iowa",19149,"Plymouth "
"629","IA","Iowa",19151,"Pocahontas "
"630","IA","Iowa",19153,"Polk "
"631","IA","Iowa",19155,"Pottawattamie "
"632","IA","Iowa",19157,"Poweshiek "
"633","IA","Iowa",19159,"Ringgold "
"634","IA","Iowa",19161,"Sac "
"635","IA","Iowa",19163,"Scott "
"636","IA","Iowa",19165,"Shelby "
"637","IA","Iowa",19167,"Sioux "
"638","IA","Iowa",19169,"Story "
"639","IA","Iowa",19171,"Tama "
"640","IA","Iowa",19173,"Taylor "
"641","IA","Iowa",19175,"Union "
"642","IA","Iowa",19177,"Van Buren "
"643","IA","Iowa",19179,"Wapello "
"644","IA","Iowa",19181,"Warren "
"645","IA","Iowa",19183,"Washington "
"646","IA","Iowa",19185,"Wayne "
"647","IA","Iowa",19187,"Webster "
"648","IA","Iowa",19189,"Winnebago "
"649","IA","Iowa",19191,"Winneshiek "
"650","IA","Iowa",19193,"Woodbury "
"651","IA","Iowa",19195,"Worth "
"652","IA","Iowa",19197,"Wright "
"653","ID","Idaho",16001,"Ada "
"654","ID","Idaho",16003,"Adams "
"655","ID","Idaho",16005,"Bannock "
"656","ID","Idaho",16007,"Bear Lake "
"657","ID","Idaho",16009,"Benewah "
"658","ID","Idaho",16011,"Bingham "
